,ACCURACY_WO_SPACES,DO_ALL,INPUT_FILE,MAX_COLS,MFCC_END,MFCC_START,MODEL,MODEL_FNAME,NOISE,NUM_CLUSTERS,N_COMPONENTS,OVERALL_ACCURACY,PREDICTION,RATE,SCORE,SMOOTH,TOL,WHITEN
2016-12-02 22:02:38.957887,0.40591715976331366,False,data/LABELED_CHARACTER_INPUTS.csv,-1,-60,0,"MultinomialHMM(algorithm='viterbi', init_params='', n_components=27,
        n_iter=10000, params='e',
        random_state=<mtrand.RandomState object at 0x107ea5be0>,
        startprob_prior=array([ 0.     ,  0.11602,  0.04702,  0.03511,  0.0267 ,  0.02007,
        0.03779,  0.0195 ,  0.07232,  0.06286,  0.00597,  0.0059 ,
        0.02705,  0.04383,  0.02365,  0.06264,  0.02545,  0.00173,
        0.01653,  0.07755,  0.16671,  0.01487,  0.00649,  0.06753,
        0.00017,  0.0162 ,  0.00034]),
        tol=0.01,
        transmat_prior=array([[  5.41520e-06,   1.27241e-01, ...,   2.13671e-02,   7.31480e-05],
       [  7.56793e-02,   1.17347e-04, ...,   2.99208e-02,   5.22026e-04],
       ...,
       [  6.17720e-01,   5.44841e-03, ...,   8.31080e-04,   6.15255e-05],
       [  1.89640e-03,   8.49162e-02, ...,   2.56163e-02,   1.67936e-01]]),
        verbose=False)",models/2016-12-02 22:02:38.957887-0.500950570342.pkl,0.001,50,100,0.5009505703422052,athee was hedinkind to ped hemy theed ly wit ing he ter she wr th the icly and athedd wathond thint fffe ar twale che had wealee allk whe hiof her fingr chas m ckend the be had so asitomed ie sonkexcaliong in in ase wain bs the bse of buthof the the walle wintour qusoules he sonorowouling soushe sas shousingres be heryowoubind d mphe as she thend oor the bojurat sade her he f icor shend cand s sous whather qupoulangrey qu ojuind py sonlllllis wasowout momer the thasthe of itllind by and aithend the malimes wice shidengr a wourermppout wino ofibulled min thest by hes there say inthing wo vers prsaround if than fou the aizze thinbyor an aves byon ad mear qulist ckeveale pr fffowrer to her juserojery ppe ishit th satexpongrgre ce thid the an the tive st iff drered shive calerof ait when the maprit alindang thaly a watit ist ff f w athery and looved an in ang then hersher on abuse wearmer st ser oupl ind id ingsher licery wowe wery cthat adves st allly ance couparsshed tompind ly he the oworst sid was plind th ppt the allon the asawhit the ,44100,-3776.8582730132,2.7182818284590451,0.01,True
2016-12-02 21:31:55.332441,0.3822485207100592,False,data/LABELED_CHARACTER_INPUTS.csv,-1,-60,0,"MultinomialHMM(algorithm='viterbi', init_params='', n_components=27,
        n_iter=10000, params='e',
        random_state=<mtrand.RandomState object at 0x107ea5be0>,
        startprob_prior=array([ 0.     ,  0.11602,  0.04702,  0.03511,  0.0267 ,  0.02007,
        0.03779,  0.0195 ,  0.07232,  0.06286,  0.00597,  0.0059 ,
        0.02705,  0.04383,  0.02365,  0.06264,  0.02545,  0.00173,
        0.01653,  0.07755,  0.16671,  0.01487,  0.00649,  0.06753,
        0.00017,  0.0162 ,  0.00034]),
        tol=0.01,
        transmat_prior=array([[  5.41520e-06,   1.27241e-01, ...,   2.13671e-02,   7.31480e-05],
       [  7.56793e-02,   1.17347e-04, ...,   2.99208e-02,   5.22026e-04],
       ...,
       [  6.17720e-01,   5.44841e-03, ...,   8.31080e-04,   6.15255e-05],
       [  1.89640e-03,   8.49162e-02, ...,   2.56163e-02,   1.67936e-01]]),
        verbose=False)",models/2016-12-02 21:31:55.332441-0.484790874525.pkl,0.001,50,100,0.4847908745247148,avend sas helinding to led bert thery th windime he her omowar je the saveronyoutowhe qutheng qu yo quck he tthed abe way hexise athe the tick ser wator meas pe wang wid id wan so wouseres id cofforaithand in it ass heat ho and ise be t whed an wang whece without hisaithomed monbersaitind of the sas shevousornerin ieroupo find f foju wo she cheng out the but ray thed tor wofo here oveng mand sanous thather whezzzitivexpug tthine t yovethermin wimof le thaly the trongue of kstting to med hithing t d haiches wise ouchelly a shice plllif shal bing cked man cedof by her there was outling he bere lecarshed id ngay averend alice thing by se aved thed be four thealy pre wate ly ocexprey quther alkersaked hes ingof at ched sanofore ay this whe st are tice my ang plecey okite cateran qut prer the mallid aththald thous athatin ind me ind anthermang coused ay id ang thel therkey an abome ffarsey wh ber cest and in aricher hement toun send allid anter ck izzly heme mulftherind oupling th he the aporof ous was lkind fo gof oug izzze ghe thathid wid ,44100,-3845.192834333543,2.7182818284590451,0.01,True
2016-12-02 21:27:02.141940,0.37041420118343193,False,data/LABELED_CHARACTER_INPUTS.csv,-1,-60,0,"MultinomialHMM(algorithm='viterbi', init_params='', n_components=27,
        n_iter=10000, params='e',
        random_state=<mtrand.RandomState object at 0x107ea5be0>,
        startprob_prior=array([ 0.     ,  0.11602,  0.04702,  0.03511,  0.0267 ,  0.02007,
        0.03779,  0.0195 ,  0.07232,  0.06286,  0.00597,  0.0059 ,
        0.02705,  0.04383,  0.02365,  0.06264,  0.02545,  0.00173,
        0.01653,  0.07755,  0.16671,  0.01487,  0.00649,  0.06753,
        0.00017,  0.0162 ,  0.00034]),
        tol=0.01,
        transmat_prior=array([[  5.41520e-06,   1.27241e-01, ...,   2.13671e-02,   7.31480e-05],
       [  7.56793e-02,   1.17347e-04, ...,   2.99208e-02,   5.22026e-04],
       ...,
       [  6.17720e-01,   5.44841e-03, ...,   8.31080e-04,   6.15255e-05],
       [  1.89640e-03,   8.49162e-02, ...,   2.56163e-02,   1.67936e-01]]),
        verbose=False)",models/2016-12-02 21:27:02.141940-0.479087452471.pkl,0.001,50,100,0.4790874524714829,avece wit hedvemand ng bed cery thred ly wandind by mer ser ar he the tand ind okeres qunkind ly th bece thallick she ind tryour athe the bupr her mpopr alis quicknd was an hid ff houngres ve cofoursathoff an at ind thit ks the ase of k thed sthithe ckice wilyoll illalles ir cofourealllis se the ait chongunornd an ark ath aind m owhe is she cusom sas bbe hik wis wame ses qupl hery soupe aind sayous thather ave liceajulaly liling t thoulichoun thand be mathe the thisthe of allling an com quchand the wainors then sofreris w pplllathelld thay lith ated win chese st her there and onthind wo oury besand ve an thas fof che wouce stour on se fout ance be mers hedind are male by iccoures to ber wererthere the ashed th sale wingupre at thim the at the tthe it whe arered prite songrad but shes the sadour wictende pllis aveasct ass ichind icked wand fooure at it ang ther berghed inichese ananded ss ser stut wid in inisher iovent yown qund waice astes ss izzzzzince womerkesand saryoud it s athex worst sid was boung th ben oue azzly the ppayour the ,44100,-3830.4387243138617,2.7182818284590451,0.01,True
2016-12-02 22:54:38.053212,0.36213017751479293,False,data/LABELED_CHARACTER_INPUTS.csv,-1,-60,0,"MultinomialHMM(algorithm='viterbi', init_params='', n_components=27,
        n_iter=10000, params='e',
        random_state=<mtrand.RandomState object at 0x107ea5be0>,
        startprob_prior=array([ 0.     ,  0.11602,  0.04702,  0.03511,  0.0267 ,  0.02007,
        0.03779,  0.0195 ,  0.07232,  0.06286,  0.00597,  0.0059 ,
        0.02705,  0.04383,  0.02365,  0.06264,  0.02545,  0.00173,
        0.01653,  0.07755,  0.16671,  0.01487,  0.00649,  0.06753,
        0.00017,  0.0162 ,  0.00034]),
        tol=0.01,
        transmat_prior=array([[  5.41520e-06,   1.27241e-01, ...,   2.13671e-02,   7.31480e-05],
       [  7.56793e-02,   1.17347e-04, ...,   2.99208e-02,   5.22026e-04],
       ...,
       [  6.17720e-01,   5.44841e-03, ...,   8.31080e-04,   6.15255e-05],
       [  1.89640e-03,   8.49162e-02, ...,   2.56163e-02,   1.67936e-01]]),
        verbose=False)",models/2016-12-02 22:54:38.053212-0.47433460076.pkl,0.001,50,100,0.4743346007604563,ainke way pedingund st hed ojed thing te buryond py berkeputor id the hait and owheng quthand th id anke he tsale the way quloje ling the iout her gaigr meas wealind the be hal as offreres by fongersathone an by and s st is the use of t thid th mply lince quthous hitheres he fulorreaitine th the sas fichillfrme an ber bem bund y jenk ve whe whead mor ice tou gas wabe her moro hery thory mand stooke tllicer the qusouzzzzit salind f sthitowofon thent pe berst the stheple my pexthay bo and qullind t o bouches them thedowis a thedverppput qute mall ived win walid he our there sas mitouly wa here pemarking an thas cck the alice thono ct an thed ived on bear cedind mbe wave as hecoures to her seversatit the beppr to mate winghere as thid tok wiceme tome ct and hendey thive aiveras qut wind the wappue alithand tilit a watll ber he ate alled wang icofon at us all tind heroury in allfe gsaryon ve ver kert ing by thother ioment whon went allle athed ve noung inge fonghingund themuld as in ble atored ser the pound to her oup fouin the whatike whe ,44100,-3882.1832888917875,2.7182818284590451,0.01,True
2016-12-02 21:22:04.584930,0.3550295857988166,False,data/LABELED_CHARACTER_INPUTS.csv,-1,-60,0,"MultinomialHMM(algorithm='viterbi', init_params='', n_components=27,
        n_iter=10000, params='e',
        random_state=<mtrand.RandomState object at 0x107ea5be0>,
        startprob_prior=array([ 0.     ,  0.11602,  0.04702,  0.03511,  0.0267 ,  0.02007,
        0.03779,  0.0195 ,  0.07232,  0.06286,  0.00597,  0.0059 ,
        0.02705,  0.04383,  0.02365,  0.06264,  0.02545,  0.00173,
        0.01653,  0.07755,  0.16671,  0.01487,  0.00649,  0.06753,
        0.00017,  0.0162 ,  0.00034]),
        tol=0.01,
        transmat_prior=array([[  5.41520e-06,   1.27241e-01, ...,   2.13671e-02,   7.31480e-05],
       [  7.56793e-02,   1.17347e-04, ...,   2.99208e-02,   5.22026e-04],
       ...,
       [  6.17720e-01,   5.44841e-03, ...,   8.31080e-04,   6.15255e-05],
       [  1.89640e-03,   8.49162e-02, ...,   2.56163e-02,   1.67936e-01]]),
        verbose=False)",models/2016-12-02 21:22:04.584930-0.461977186312.pkl,0.001,50,100,0.4619771863117871,asucensas medigrind wo hey hely toved to wimbind ad ond owiter pr the ha s and plyolf lithind ve wo wace ur thice ale had wovend sthe the oupr her cater chas meangad lin in tad ff ominorer ivimpojersatious in it qug that ts the bbe pe y thou the ald asury withait hisothes he foofereanojus pp she sas qupofikeroulin ing iff bind s sour pe the lithe ang iof ofo out mate her heng bery ssery caly stofis thojugr sowizzanojexcof talind f thextichein thoug ad sored the tryoure ar asthind oullly hilling the wabulof when wickedut quthicknghathe kind bury thes min calid ot her there san outhend wo pere yomarthay in that fff che alice wheli at ar ling thed by keary thass cke wand at herermed ve yor wheersaved whe inghe do fand sulesere at whed the at she tofo nd qul sonded thive outomas wit whed whe maplid warthand ngour aveatrk ing le bes aryous ang ofored at it any ther torshed plichald tharsed th ngr cknt whe it whither beveng then send athad anoke nd izzzzzllle ffasthonind prmaing us on the isarst qur sas aling te hee fid azzzl the thathid the ,44100,-3794.9998049850487,2.7182818284590451,0.01,True
2016-12-02 21:46:51.444685,0.3467455621301775,False,data/LABELED_CHARACTER_INPUTS.csv,-1,-60,0,"MultinomialHMM(algorithm='viterbi', init_params='', n_components=27,
        n_iter=10000, params='e',
        random_state=<mtrand.RandomState object at 0x107ea5be0>,
        startprob_prior=array([ 0.     ,  0.11602,  0.04702,  0.03511,  0.0267 ,  0.02007,
        0.03779,  0.0195 ,  0.07232,  0.06286,  0.00597,  0.0059 ,
        0.02705,  0.04383,  0.02365,  0.06264,  0.02545,  0.00173,
        0.01653,  0.07755,  0.16671,  0.01487,  0.00649,  0.06753,
        0.00017,  0.0162 ,  0.00034]),
        tol=0.01,
        transmat_prior=array([[  5.41520e-06,   1.27241e-01, ...,   2.13671e-02,   7.31480e-05],
       [  7.56793e-02,   1.17347e-04, ...,   2.99208e-02,   5.22026e-04],
       ...,
       [  6.17720e-01,   5.44841e-03, ...,   8.31080e-04,   6.15255e-05],
       [  1.89640e-03,   8.49162e-02, ...,   2.56163e-02,   1.67936e-01]]),
        verbose=False)",models/2016-12-02 21:46:51.444685-0.461977186312.pkl,0.001,50,100,0.4619771863117871,aimon was hemuedond st med iche toved le quryond bu ses woucer he she wang and bbered n thind chind meve or ckive ake had qugice blli the that ber waber thas meamply but ly ong an iouseree he wingersalllly an ot ind what of the oke wout thit thility minde qulyoou iofoures ar wingrmealllof al she sas whoffojurng in ber owoulind s ceng ly she andid our the wit rit wave her heen bers stery conk stthof whather the ppadouliche ofokng w tsowouthoun withe me serst the pritske ld mexckid to wnd howaind t e cathine when foove as a whofe memond quck incouly quren allis by her there sad thomond qu iere mutarghit ok chay lid the anove thand is ad tict bbly id vear bemack cke vice ms hovermed to ber andereadve whe ithed st then wanedere as shad whe ay ile toje as ime weesed ffoje aicerig hof when the mamous imallall sthat a wasat bed mo ite adouly and allind ay ks and thed buzzzed an andin vearded th mer lext and on ithther atheng chen ment athan amout ts ppply ange ithe sesond sitlind he g cther qurid for qus moung sh mey out opppe the thadous the ,44100,-3790.91938084333,2.7182818284590451,0.01,True
2016-12-02 22:02:14.598415,0.35029585798816565,False,data/LABELED_CHARACTER_INPUTS.csv,-1,-60,0,"MultinomialHMM(algorithm='viterbi', init_params='', n_components=27,
        n_iter=10000, params='e',
        random_state=<mtrand.RandomState object at 0x107ea5be0>,
        startprob_prior=array([ 0.     ,  0.11602,  0.04702,  0.03511,  0.0267 ,  0.02007,
        0.03779,  0.0195 ,  0.07232,  0.06286,  0.00597,  0.0059 ,
        0.02705,  0.04383,  0.02365,  0.06264,  0.02545,  0.00173,
        0.01653,  0.07755,  0.16671,  0.01487,  0.00649,  0.06753,
        0.00017,  0.0162 ,  0.00034]),
        tol=0.01,
        transmat_prior=array([[  5.41520e-06,   1.27241e-01, ...,   2.13671e-02,   7.31480e-05],
       [  7.56793e-02,   1.17347e-04, ...,   2.99208e-02,   5.22026e-04],
       ...,
       [  6.17720e-01,   5.44841e-03, ...,   8.31080e-04,   6.15255e-05],
       [  1.89640e-03,   8.49162e-02, ...,   2.56163e-02,   1.67936e-01]]),
        verbose=False)",models/2016-12-02 22:02:14.598415-0.459125475285.pkl,0.01,50,100,0.4591254752851711,anghe mat cedingund theded bbus thond ly outoung ch ser wimour an the cain and waghes qutheng tindd ange id linge the had venive alin the aind ced spler what omoushe ake ke sas be youpyond se ougimowalingt in it ary plat ct the ste in s cano ts wour whase milfoullillllome wh sinoromalllit ak the wat shickintond in hed ker kind t peck ly the susid ond the cof dof wave sed herickery thead wond tourke thather the llabulel an lalind t tinblllyoun qushe be thond the tricace ng bellind to ond ousaind the daithed qupy qushenof a plldezzzzzze buly ingu ated man sared st hed there wam bithind mo cery besariche wixthat ind sas abuse the s it as thet cthe of veave meama pre wale ff assorond to cer angermange the icher thesame winthere at ghit chexpl thextore st war theved thile yolyowicout thes the wancke ousthang thiof aveatly ist in ite ashery ong anojes at st ash thes fourced in aceve mearmed th her bepl and in waither iowent moon ment athay anter st bllly inge ondoucexing atofick at an ther qurad the mpt found to fof off allly the owarcke abe ,44100,-3844.9167280376364,2.7182818284590451,0.01,True
2016-12-02 22:47:58.129186,0.34911242603550297,False,data/LABELED_CHARACTER_INPUTS.csv,-1,-60,0,"MultinomialHMM(algorithm='viterbi', init_params='', n_components=27,
        n_iter=10000, params='e',
        random_state=<mtrand.RandomState object at 0x107ea5be0>,
        startprob_prior=array([ 0.     ,  0.11602,  0.04702,  0.03511,  0.0267 ,  0.02007,
        0.03779,  0.0195 ,  0.07232,  0.06286,  0.00597,  0.0059 ,
        0.02705,  0.04383,  0.02365,  0.06264,  0.02545,  0.00173,
        0.01653,  0.07755,  0.16671,  0.01487,  0.00649,  0.06753,
        0.00017,  0.0162 ,  0.00034]),
        tol=0.01,
        transmat_prior=array([[  5.41520e-06,   1.27241e-01, ...,   2.13671e-02,   7.31480e-05],
       [  7.56793e-02,   1.17347e-04, ...,   2.99208e-02,   5.22026e-04],
       ...,
       [  6.17720e-01,   5.44841e-03, ...,   8.31080e-04,   6.15255e-05],
       [  1.89640e-03,   8.49162e-02, ...,   2.56163e-02,   1.67936e-01]]),
        verbose=False)",models/2016-12-02 22:47:58.129186-0.459125475285.pkl,0.01,50,100,0.4591254752851711,allle cat meliclind to ldy ourg tshed th lithind he herermongr gl the wais and walyof asthond th ss plly ar toule ane qus berice nthe the waif ser outere aly oulived wid by sad so paithous be washerantinde in ithait that he the ive pr f walf th ck t imand bithous s it tes ay wancofrg t at he the sat whe therong be ber ito bond d ad i te the owhad fof wad wat sat wave wof hexp wary touthe ain sthoug thicher the quld hes he sasind w thedouchain sshathed acory the trphese pr hentive if wnd aithild the buplidr then shisengr a imshemong st bite ples ched man wllid it hey there qur asthind be hery lingrnghe id equt fof cay alind thans at as wour cked pl vear qullico beveand ly allyored te her arkeriveve ore inghe byongeeveandvere at than whe at the thed at ang vexced thind wathoul ait shen the ongrse aintoulyoug asou jutof ide of ate uling qund copind ut itoung then herrked anouplld ojurked th our ceat and in asather picentheren ount amand uckey yo quzze wind winothedind t oning as he the bbored bof bly llily to ait pit izzzl the thathit whe ,44100,-3850.2904246457283,2.7182818284590451,0.01,True
2016-12-02 22:32:40.209905,0.33964497041420116,False,data/LABELED_CHARACTER_INPUTS.csv,-1,-60,0,"MultinomialHMM(algorithm='viterbi', init_params='', n_components=27,
        n_iter=10000, params='e',
        random_state=<mtrand.RandomState object at 0x107ea5be0>,
        startprob_prior=array([ 0.     ,  0.11602,  0.04702,  0.03511,  0.0267 ,  0.02007,
        0.03779,  0.0195 ,  0.07232,  0.06286,  0.00597,  0.0059 ,
        0.02705,  0.04383,  0.02365,  0.06264,  0.02545,  0.00173,
        0.01653,  0.07755,  0.16671,  0.01487,  0.00649,  0.06753,
        0.00017,  0.0162 ,  0.00034]),
        tol=0.01,
        transmat_prior=array([[  5.41520e-06,   1.27241e-01, ...,   2.13671e-02,   7.31480e-05],
       [  7.56793e-02,   1.17347e-04, ...,   2.99208e-02,   5.22026e-04],
       ...,
       [  6.17720e-01,   5.44841e-03, ...,   8.31080e-04,   6.15255e-05],
       [  1.89640e-03,   8.49162e-02, ...,   2.56163e-02,   1.67936e-01]]),
        verbose=False)",models/2016-12-02 22:32:40.209905-0.45247148289.pkl,0.001,50,100,0.4524714828897338,angre wad pllindind to bed comp toury to witling as ory cesomy te the sang and ingond nitheng th ss buce he thick abe way vemive sthe she hino sed watry whar jeabend lis id hay at itinoury he wangouruthery in it ary what pr the ind at t hang mplithe bbuce witllit thethely id congrthaithis he war mar thastheresh in ive amo hind d grin br the thand alf her hat mas qund ice bout icus thend wano couthe wasther tlyofoulicof bo halind w shestothain whous be woutt theveryofor be bexthed th wnd lichind wor hanghed when tickengs a thickimulyof wind aind hery wan thery ot hed therk mas thelind wo serd lyourshid in thas oor wid alice thing as ad aved sthe ad your ongang ved qute lyouzzzzzze tt ser ankermaves whe hally to oule winkerre at this ild at sor thay it agh wnghed ckice satoffo lit whes the jueshe abuthang thaly a wasth has gr ithouthet wand stoved at itoush thes seryory in angre ssarere al ary thet and in ashally heventongun mond amoue a the as ffond ince callivexing toulind as he the omarme wad qur shind tloury aid fofon the thallit the ,44100,-3827.1894233873672,2.7182818284590451,0.01,True
2016-12-02 21:36:21.227226,0.3384615384615385,False,data/LABELED_CHARACTER_INPUTS.csv,-1,-60,0,"MultinomialHMM(algorithm='viterbi', init_params='', n_components=27,
        n_iter=10000, params='e',
        random_state=<mtrand.RandomState object at 0x107ea5be0>,
        startprob_prior=array([ 0.     ,  0.11602,  0.04702,  0.03511,  0.0267 ,  0.02007,
        0.03779,  0.0195 ,  0.07232,  0.06286,  0.00597,  0.0059 ,
        0.02705,  0.04383,  0.02365,  0.06264,  0.02545,  0.00173,
        0.01653,  0.07755,  0.16671,  0.01487,  0.00649,  0.06753,
        0.00017,  0.0162 ,  0.00034]),
        tol=0.01,
        transmat_prior=array([[  5.41520e-06,   1.27241e-01, ...,   2.13671e-02,   7.31480e-05],
       [  7.56793e-02,   1.17347e-04, ...,   2.99208e-02,   5.22026e-04],
       ...,
       [  6.17720e-01,   5.44841e-03, ...,   8.31080e-04,   6.15255e-05],
       [  1.89640e-03,   8.49162e-02, ...,   2.56163e-02,   1.67936e-01]]),
        verbose=False)",models/2016-12-02 21:36:21.227226-0.450570342205.pkl,0.01,50,100,0.4505703422053232,alype whe be juling co and mery there te wictind by vey ayocer ou the burt ind tond d nicound th bl oupe ly telle the qur ffoked thok she blin hes pater alis heamoou wid id the mo alicthes ke poute watious in in ice bbut is the ice al buthal cthiche mblld withond aictinesang conowheaithas ck whe was plorsorminthin hes two king s wali me whexphere gof bbe toworis wave hen he o iche cofof aing wndoke whouler the quprthed ad ithing t saistupomin wally ff sthed the spavere or youtimy to and lithind the buthine when chere as m whit thofout with orer ades hen plyon ts qug shere wat theling wo herd ungarouce lo thad fou ang ikild coont as al thed stld ag beas he ary ber cand as llld hes co ber angeremeve ane inguthed thed wanerere as thar the athove toon tt ily ounond chind tinghal oke wheg the hayoke imat aly thayo a washe ing ul ice alind ckng lofoug athid ave tore buppled on alded rsarery th ger pren the id thather fokent fown heng atlan aling as quzed anld touckictind aly ind he t ather wored wor was yokng yojuce aid izzin d e thathin the ,44100,-3911.282633923522,2.7182818284590451,0.01,True
